code,name,category,subcategory,benchmark_index,description
159949,创业板50ETF华安,A_broad,growth,399673.SZ,创业板50
159783,科创创业50ETF,A_broad,growth_tech,000681.SH,科创创业50
515260,电子ETF华宝,A_sector,electronics,931461.CSI,电子主题
159811,5GETF博时,A_sector,5g,931079.CSI,5G通信
513220,中概互联ETF招商,C_overseas,china_internet,KWEB,中概互联
159205,创业板ETF东财,A_broad,growth,399006.SZ,创业板东财
589060,科创综指ETF东财,A_broad,growth_tech,000680.SH,科创综指
589190,科创芯片ETF华宝,A_sector,semiconductor,000683.SH,科创芯片华宝
588220,科创100ETF鹏华,A_broad,growth_tech,000698.SH,科创100
516350,芯片ETF易方达,A_sector,semiconductor,H30184.CSI,芯片易方达
159813,半导体ETF鹏华,A_sector,semiconductor,H30184.CSI,半导体鹏华
159509,纳指科技ETF景顺,C_overseas,us_tech,NDXT,纳指科技
513750,港股通非银ETF,C_overseas,hk_finance,HSI,港股通非银
83042,华夏比特币-R,E_commodity,crypto,BTC,比特币
159567,港股创新药ETF,C_overseas,hk_pharma,HSCI,港股创新药
510900,恒生中国企业ETF,C_overseas,hk_broad,HSCEI,H股
515790,光伏ETF华泰柏瑞,A_sector,solar,931151.CSI,光伏
512480,半导体ETF国联安,A_sector,semiconductor,H30184.CSI,半导体国联安
512220,TMTETF景顺,A_sector,tmt,000063.SH,TMT
159851,金融科技ETF华宝,A_sector,fintech,931380.CSI,金融科技
159546,集成电路ETF国泰,A_sector,semiconductor,931865.CSI,集成电路
515050,通信ETF华夏,A_sector,telecom,931160.CSI,通信
515070,人工智能ETF华夏,A_sector,ai_tech,930713.CSI,人工智能
159819,人工智能ETF易方达,A_sector,ai_tech,930713.CSI,AI易方达
159326,电网设备ETF华夏,A_sector,grid,931563.CSI,电网设备
159715,稀土ETF易方达,A_sector,rare_earth,930598.CSI,稀土
159637,新能源车ETF东财,A_sector,ev,930997.CSI,新能源车东财
515700,新能源车ETF平安,A_sector,ev,930997.CSI,新能源车平安
159202,恒生互联网ETF,C_overseas,hk_internet,HSCEI,恒生互联网
562500,机器人ETF华夏,A_sector,robotics,931487.CSI,机器人
159796,电池ETF汇添富,A_sector,battery,931719.CSI,电池
517800,人工智能50ETF,A_sector,ai_tech,930713.CSI,AI50
159149,创业板新能源ETF,A_sector,new_energy,399681.SZ,创业板新能源
159852,软件ETF嘉实,A_sector,software,930901.CSI,软件
513980,港股科技ETF景顺,C_overseas,hk_tech,HSTECH,港科技景顺
513160,港股科技ETF银华,C_overseas,hk_tech,HSTECH,港科技银华
513920,港股通央企红利,B_dividend,hk_high_yield,931722.CSI,港股央企红利
161127,标普生物科技LOF,C_overseas,us_biotech,SPSIBI,标普生物
588170,科创半导体ETF,A_sector,semiconductor,000698.SH,科创半导体
513520,日经ETF华夏,C_overseas,jp_broad,N225,日经225
159380,A500ETF东财,A_broad,large_cap,000510.SH,A500东财
512050,A500ETF华夏,A_broad,large_cap,000510.SH,A500华夏
159883,医疗器械ETF永赢,A_sector,medical_device,931037.CSI,医疗器械
159735,港股消费ETF银华,C_overseas,hk_consumer,HSCEI,港股消费
513310,中韩半导体ETF,C_overseas,asia_chip,SHSZSC,中韩半导体
588830,科创新能源ETF,A_sector,new_energy,000688.SH,科创新能源
161129,原油LOF易方达,E_commodity,oil,WTI,原油LOF
501018,南方原油LOF,E_commodity,oil,WTI,南方原油
160723,嘉实原油LOF,E_commodity,oil,WTI,嘉实原油
513350,标普油气ETF富国,C_overseas,us_oil,XOP,标普油气
159945,能源ETF广发,E_commodity,energy,930606.CSI,能源
159622,创新药ETF东财,A_sector,innovative_drug,931152.CSI,创新药
511160,国债ETF东财,D_bond,treasury,CGB,国债东财
511360,短融ETF海富通,F_cash,short_bond,-,短融
513400,道琼斯ETF鹏华,C_overseas,us_dow,DJI,道琼斯
159870,化工ETF鹏华,A_sector,chemicals,930606.CSI,化工
561980,半导体设备ETF,A_sector,chip_equipment,931865.CSI,半导体设备
159691,港股红利ETF工银,B_dividend,hk_dividend,HSCEI,港股红利
159330,沪深300ETF东财,A_broad,large_cap,000300.SH,沪深300东财
159941,纳指ETF广发,C_overseas,us_tech,NDX,纳指ETF广发
159869,游戏ETF华夏,A_sector,gaming,931582.CSI,游戏
159625,绿色电力ETF嘉实,A_sector,green_power,931563.CSI,绿色电力
530050,上证50ETF东财,A_broad,large_cap,000016.SH,上证50东财
159399,现金流ETF国泰,A_sector,cashflow,931152.CSI,现金流
513630,港股低波红利ETF,B_dividend,hk_low_vol,931735.CSI,港股低波红利
520990,港股央企红利ETF,B_dividend,hk_high_yield,931722.CSI,港股央企红利2
